Slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)","ฝ่ายรับ
ผิดชอบ",กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
11,06:00,06:00,-,LOCATION,ยืมโต๊ะเก้าอี้สำหรับตรวจ ATK,หอประชุมตึก 3,นอร์ท 0951461000,"นุ่น 0931695291 
จินนี่ 0866333903",- ให้คนที่จะมาตั้งโต๊ะและเก้าอี้นำโต๊ะเก้าอี้ออกมาเองจากหอประชึมตึก3เลย(เก้าอี้10ตัว และโต๊ะหน้าขาว)
12,06:00,06:50,50,LOCATION,เปิดห้องและเช็กห้องน้ำ,ทั้งหมด,นอร์ท 0951461000,"นุ่น 0931695291
จินนี่ 0866333903
ที 0925569188
จิ๊บ 0992686298
โปเต้ 0945701594
นอร์ท 0951461000","- เปิดสถานที่ทั้งหมดที่ระบุไว้ในหนังสื่อใหญ่ของวันนั้นๆ
- เช็กห้องน้ำที่ระบุไว้ในหนังสื่อใหญ่ว่าน้ำไหลไหม จากนั้นเปิดไฟไว้ให้พร้อมใช้งาน"
13,06:10,06:10,-,PLAN,stand by พี่แผนคุมโซน,"ลานเกียร์และที่ราบสูง
icanteen และลานชาไทย
สวนรวมใจ
ใต้ตึก 100
ใต้ตึก 4",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 100 - โอ๊ค 0902156600
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","พี่แผนคุมโซนประจำตำแหน่ง ดังนี้
-ลานเกียร์ และ ที่ราบสูง 3 คน
-icanteen และ ลานชาไทย 2 คน
-สวนรวมใจ 2 คน
-ใต้ตึก 100 2 คน
-ใต้ตึก 4 2 คน"
14,06:10,06:10,-,PLAN,stand by พี่แผนประจำบ้าน,โต๊ะบ้าน,เอิน 0993438222,แผนประจำบ้านทุกบ้าน,-พี่แผนประจำบ้านประจำอยู่ที่โต๊ะบ้านของตนเอง
15,06:15,08:00,105,PLAN,พาน้องเข้าห้องน้ำช่วงลงทะเบียน,"ลานเกียร์และที่ราบสูง - ห้องน้ำตึก 3 ชั้น 1, 2
icanteen ชั้น 1 และลานชาไทย - ห้องน้ำอรุณ
สวนรวมใจ - ห้องน้ำทรู
ใต้ตึก 4 - ห้องน้ำตึก 4
ใต้ตึก 100 - ห้องน้ำตึก 100",เอิน 0993438222,แผนประจำบ้านทุกบ้าน,"-น้องคนไหนต้องการจะไปเข้าห้องน้ำให้พี่แผนประจำบ้านบอกทางห้องน้ำของบ้านตนเองตามที่ฝ่ายแผนกลางได้กำหนดเอาไว้ให้ดังตาราง 
-หากน้องคนไหนไม่สามารถไปเข้าห้องน้ำเองได้ ให้พี่แผนประจำบ้านหรือพี่บ้านที่รู้ทางเป็นคนพาน้องไปเข้าห้องน้ำ

ตำแหน่งห้องน้ำ
ยูไม่ตอบ(315-6) - ตึกอรุณ
ยูว้อน(415-6) - ตึกอรุณ
ยูเชื่อบ่(409) - ตึกอรุณ
ยูร้องโฮ่ง(304) - ตึก3 ชั้น 1, 2
ยูกับพี่(501) - ตึก3 ชั้น 1, 2
ยูวี(502) - ตึก3 ชั้น 1, 2
ยูต่อ (401+402) - ตึก3 ชั้น 1, 2
ยูในใจ(301+304) - ตึก3 ชั้น 1, 2
ยูพี่น้อง(308+309) - ตึก3 ชั้น 1, 2
ยูเทิร์น(504) - ตึก 100 ชั้น M
ยูไฟเยอร์(505) - ตึก 100 ชั้น M
ยูไม่หลับ(402) - ตึก 100 ชั้น M
ยูโร่(404) - ตึก 4
ยูเอฟโอ (405) - ตึก 4
ยูบายพาร์ท(ห้องโถงกวศ.) - ตึก 4
ยูเลิฟ(318+319) - ห้องน้ำทรู
ยูคนเดียว(418+419) - ห้องน้ำทรู"
16,06:15,08:00,105,PLAN,ดูแลความเรียบร้อยช่วงเข้าห้องน้ำ,"ลานเกียร์และที่ราบสูง - ห้องน้ำตึก 3 ชั้น 1, 2
icanteen ชั้น 1 และลานชาไทย - ห้องน้ำอรุณ
สวนรวมใจ - ห้องน้ำทรู
ใต้ตึก 4 - ห้องน้ำตึก 4
ใต้ตึก 100 - ห้องน้ำตึก 100",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 100 - โอ๊ค 0902156600
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891",-ในกรณีที่น้องมาเข้าห้องน้ำในโซนที่ไม่ใช่โซนของตนเองและไม่รู้ทาง ให้พี่เเผนคุมโซนบอกทางไปเข้าห้องน้ำกับน้องตามโซนที่ตนเองรับผิดชอบ เมื่อน้องเข้าห้องน้ำเสร็จเรียบร้อยให้พี่แผนคุมโซนบอกให้น้องกลับโซนของตัวเอง
17,06:15,08:15,120,COOR,ดูแลโต๊ะบ้าน,"i-canteen ชั้น 1 (ยูไม่ตอบ, ยูว้อน)
ใต้ตึก 100 (ยูเทิร์น, ยูไฟเยอร์, ยูไม่หลับ)
ใต้ตึก 4 (ยูเอฟโอ, ยูโร่, ยูบายพาร์ท)
ลานเกียร์ (ยูวี, ยูกับพี่, ยูนิคอร์น, ยูร้องโฮ่ง, ยูต่อ)
ลานชาไทย (ยูเชื่อบ่)
ที่ราบสูง (ยูพี่น้อง, ยูในใจ)
สวนรวมใจ (ยูเลิฟ, ยูคนเดียว)",ฟ้า 0816443327,"ยูเทิร์น - ซีดี 0909769236
ยูไฟเยอร์ - เต้ 0920921853
ยูเลิฟ - ฟ้า 0816443327
ยูกับพี่ - ปิงปอง 0989838988
ยูวี - อุ๊ง 0897924157
ยูว้อน - พอร์ช 0625901145
ยูพี่น้อง - บ๊อบบี้ 0969549900
ยูเชื่อบ่ - พุทธ 0634164067
ยูไม่หลับ - เชียร์ 0839986709
ยูต่อ - พุทธ 0634164067
ยูบายพาร์ท - ปุ๋ย 0968635225
ยูไม่ตอบ - โฟกัส 0956971900
ยูโร่ - โอ๊ต 0904041246
ยูนิคอร์น - ริกะ 0971310792
ยูคนเดียว - พอร์ช 0625901145
ยูเอฟโอ - เบว 0649745945
ยูร้องโฮ่ง - วา 0934427820
ยูในใจ - ฟ้า 0816443327","- ดูแลอำนวยความสะดวกแต่ละบ้าน
- พาน้องตกหล่นไปโต๊ะบ้าน/ตรวจ atk
- ถ้าน้องยังไม่ได้กินข้าวเช้าให้ไปทานที่ i-canteen บอกให้น้องกลับมาตรงเวลา"
18,06:15,08:00,105,REG,check ชื่อน้อง,โต๊ะบ้าน,ซี 0897743330,"มิลค์ 0613368150 (Aยูเทิร์น)
เอย 0805451585 (Bยูไฟเยอร์)  
อุ้ม 0819290085 (Cยูเลิฟ) 
มังกร 0918515467 (Dogยูกับพี่) 
รัน 0955146293 (Eยูวี) 
เม็ดทราย 0947806069 (Fยูว้อน) 
โดนัท 0942531119 (Gยูพี่น้อง) 
เจ 0958177959 (Hยุเชื่อบ่) 
นิค 0638876413 (Jยูไม่หลับ) 
มีน 0836044503 (Kยูต่อ) 
เซีย 0810111600 (Lยูบายพาร์ท) 
เก้า 0982678826 (Mยูไม่ตอบ) 
เกรซ 0865041137 (Nยููโร่) 
ออม 0929799542 (Pยูนิคอร์น) 
เอี่ยม 0646324145 (Qยูคนเดียว) 
พลอย 0968905310 (Rยูเอฟโอ) 
มาร์ค 0951812905 (Sยูร้องโฮ่ง) 
แป้ง 0860431345 (Tยูในใจ)","-ทะเบียนบ้านcheckชื่อน้องทั้งหมด
-ตรวจ ATK น้องทั้งหมดที่ตรงข้ามป้ายคณะ
-เช็ควัคซีน
-ถามเรื่องน้องกลับบ้านยังไง ต้องไปส่งมั้ย
-แจกป้ายชื่อ"
19,06:50,06:50,-,COOR,ตามสล็อตยาม,"บ้าน A ยูเทิร์น - จุด F
บ้าน B ยูไฟเยอร์ - จุด N
บ้าน G ยูพี่น้อง - จุด Q
บ้าน Q ยูคนเดียว - จุด U
บ้าน T ยูในใจ - จุด S",ฟ้า 0816443327,"ยูเทิร์น - ซีดี 0909769236
ยูไฟเยอร์ - เต้ 0920921853
ยูพี่น้อง - บ๊อบบี้ 0969549900
ยูคนเดียว - พอร์ช 0625901145
ยูในใจ - ฟ้า 0816443327","- ตามยามให้ไปที่ห้อง toshiba ชั้น 1 ตึก 3 ก่อนไปประจำจุด
- ยามประจำจุดเวลา 7.00-8.00"
20,07:00,07:30,30,WELFARE,รวมทีมสมาชิกฝ่าย บรีฟครั้งสุดท้ายก่อนเข้างานวันจริง,ห้องฝ่ายพัสดุ (204 ตึก 3),ไนท์ 0858292877,ไนท์ 0858292877,- ให้เพื่อนๆเข้าใจสถานการณ์คร่าวๆ เตรียมของ จัดการห้อง บอกแผนการและแยกย้ายไปดูแลตำแหน่งต่างๆ ตามที่ได้รับมอบหมาย
21,07:30,11:00,210,WELFARE,เปิดให้ฝ่ายอื่นเบิกของตัวเองในห้องพัสดุ,ห้องฝ่ายพัสดุ (204 ตึก 3),ไนท์ 0858292877,"เชอร์รี่ 0852589212
ต้นหลิว 0979744980",- เช็คของที่ฝากไว้พร้อมลงฟอร์มกรอกหลักฐานให้ครบก่อนแจกของให้เพื่อนๆ
22,07:30,08:30,60,LOCATION,ยืมอุปกรณ์โสต,อาคาร 3 ชั้น 1 ห้อง Toshiba,นอร์ท 0951461000,"นุ่น 0931695291 
จินนี่ 0866333903","- ฝ่ายสถานที่ไปยืมลำโพงลากมาจากห้องโสต 208
- ฝ่ายหรือห้องบ้านที่ลงชื่อยืมอุปกรณ์โสตไว้สามารถมารับอุปกรณ์ได้ในเวลานี้
- อุปกรณ์ยืมคืนวันต่อวัน"
23,07:50,07:50,60,COOR,ตามสล็อตยาม,"บ้าน A ยูเทิร์น - จุด R
บ้าน B ยูไฟเยอร์ - จุด Z
บ้าน J ยูไม่หลับ - จุด C",ฟ้า 0816443327,"ยูเทิร์น - ซีดี 0909769236
ยูไฟเยอร์ - เต้ 0920921853
ยูไม่หลับ - เชียร์ 0839986709","- ตามยามให้ไปที่ห้อง toshiba ชั้น 1 ตึก 3 ก่อนไปประจำจุด
- ยามประจำจุดเวลา 8.00-10.00"
24,08:00,08:00,-,PLAN,ประกาศการเข้าห้องน้ำครั้งสุดท้าย,"ลานเกียร์และที่ราบสูง
icanteen และลานชาไทย
สวนรวมใจ
ใต้ตึก 100
ใต้ตึก 4",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 100 - โอ๊ค 0902156600
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","-ผู้ตัดสินใจสูงสุดของฝ่ายแผนไลน์แจ้งลงในไลน์กลุ่ม แผนประจำบ้าน ว่า “8:00-8:10 เป็นช่วงเวลาเข้าห้องน้ำช่วงสุดท้าย อย่าลืมบอกให้น้องไปเข้าห้องน้ำ”
-พี่แผนคุมโซนเตือนพี่แผนประจำบ้านเรื่องการเข้าห้องน้ำครั้งสุดท้ายและกำชับเรื่องการรักษาเวลา
-พี่แผนคุมโซนเริ่มต้อนน้องที่ไม่ได้อยู่ที่โซนบ้านของตัวเองให้กลับไปที่โต๊ะบ้านของตน"
25,08:00,08:10,10,PLAN,เข้าห้องน้ำรอบสุดท้าย,"ลานเกียร์ และ ที่ราบสูง - ห้องน้ำตึก 3 ชั้น 1, 2
icanteenชั้น 1 และ ลานชาไทย - ห้องน้ำอรุณ
สวนรวมใจ - ห้องน้ำทรู
ใต้ตึก 4 - ห้องน้ำตึก 4
ใต้ตึก 100 - ห้องน้ำตึก 100",เอิน 0993438222,แผนประจำบ้านทุกบ้าน,"-พี่แผนประจำบ้านเรียกน้องบ้านตนเองให้เข้าห้องน้ำครั้งสุดท้าย และย้ำน้องว่ากิจกรรมหอประชุมน้องจะไม่สามารถเข้าห้องน้ำได้
-การเข้าห้องน้ำในครั้งนี้จะให้พี่แผนประจำบ้านพาน้องไปเข้าห้องน้ำเป็นกลุ่ม โดยให้พี่แผนประจำบ้าน 2 เพศ พาน้องไปเข้าห้องน้ำตามที่กำหนด
-เมื่อน้องเข้าห้องน้ำเสร็จเรียบร้อยแล้วให้พี่แผนประจำบ้านที่พาน้องไปเข้าห้องน้ำรอบสุดท้ายพาน้องกลับถึงโต๊ะบ้านของตัวเอง"
26,08:00,08:15,15,PLAN,เช็กหอประชุมตึก 3,หอประชุมตึก 3,น้ำพั้นซ์ 0924988979,น้ำพั้นซ์ 0924988979,"-เช็กหอประชุมว่าจัดเก้าอี้ตรงตามแผนผังหรือไม่
-เปิดประตูหอประชุม
-ผู้ตัดสินใจสูงสุดเข้าไปเช็กความเรียบร้อยสถานที่และ timer ในหอประชุม ถ้าหากหอประชุมพร้อมรับน้องแล้วให้แจ้งผ่านไลน์กลุ่ม แผนกลาง ว่า “หอประชุมxx พร้อม”"
27,08:00,08:15,15,PLAN,เช็กหอประชุมตึก 4,หอประชุมตึก 4,คนิ้ง 0858101505,คนิ้ง 0858101505,"-เช็กหอประชุมว่าจัดเก้าอี้ตรงตามแผนผังหรือไม่
-เปิดประตูหอประชุม
-ผู้ตัดสินใจสูงสุดเข้าไปเช็กความเรียบร้อยสถานที่และ timer ในหอประชุม ถ้าหากหอประชุมพร้อมรับน้องแล้วให้แจ้งผ่านไลน์กลุ่ม แผนกลาง ว่า “หอประชุมxx พร้อม”"
28,08:00,09:00,60,REG,check ชื่อน้องสาย,ห้องฝ่ายทะเบียน (116/3 ตึก3),ซี 0897743330,ซี 0897743330,"-ทะเบียนกลางcheckชื่อน้องทั้งหมด
-ตรวจ ATK น้องทั้งหมดที่โต๊ะลงทะเบียน
-เช็ควัคซีน
-ถามเรื่องน้องกลับบ้านยังไง ต้องไปส่งมั้ย
-แจกป้ายชื่อ
-ส่งน้องให้ฝ่ายแผน
-ห้ามพี่สายเข้าตอนช่วงนี้เด็ดขาด เพื่อป้องกันเรื่องโควิด"
29,08:10,08:15,5,PLAN,เช็กห้องน้ำครั้งสุดท้าย,"ลานเกียร์ และ ที่ราบสูง - ห้องน้ำตึก 3 ชั้น 1, 2
icanteenชั้น 1 และ ลานชาไทย - ห้องน้ำอรุณ
สวนรวมใจ - ห้องน้ำทรู
ใต้ตึก 4 - ห้องน้ำตึก 4
ใต้ตึก 100 - ห้องน้ำตึก 100",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 100 - โอ๊ค 0902156600
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","-พี่แผนคุมโซนเช็กห้องน้ำในโซนของตนเองว่าไม่มีน้องอยู่ในห้องน้ำแล้ว หากพบน้องอยู่ในห้องน้ำให้รีบพาไปส่งที่โต๊ะบ้านของน้อง 
-เมื่อพี่แผนคุมโซนตรวจสอบห้องน้ำเรียบร้อยแล้ว และไม่พบน้องอยู่ในห้องน้ำให้ไลน์แจ้งในกลุ่ม แผนกลาง ว่า “ห้องน้ำxx เคลียร์”
-ถ้าไม่เรียบร้อยให้แจ้งสถานการณ์ลงในไลน์กลุ่ม แผนกลาง เช่น “ห้องน้ำ xx มีน้องxx”"
30,08:10,08:10,-,PLAN,น้องทุกคนประจำที่โต๊ะบ้าน,โต๊ะบ้าน,เอิน 0993438222,แผนประจำบ้านทุกบ้าน,"-พี่แผนประจำบ้านที่พาน้องไปเข้าห้องน้ำรอบสุดท้ายพาน้องกลับถึงโต๊ะบ้านของตัวเอง
-น้องทุกคนประจำโต๊ะบ้านของตนเอง 
-พี่แผนประจำบ้านแจ้งทะเบียนบ้านให้เช็กจำนวนน้อง"
31,08:10,08:10,-,PLAN,stand by doorman หอประชุมตึก 3,"หอประชุมตึก 3 ประตูฝั่งป้ายคณะ
หอประชุมตึก 3 ประตูฝั่งตึก 2
หอประชุมตึก 3 ชั้น 2 ",น้ำพั้นซ์ 0924988979,"Doorman
หอประชุมตึก 3 ประตูฝั่งป้ายคณะ - กัน 0974514159
หอประชุมตึก 3 ประตูฝั่งตึก 2 - เติ้ล 0897991699
หอประชุมตึก 3 ชั้น 2 - เอ็กซ์แอล 0934239213",-doorman ประจำตำแหน่งที่กำหนด
32,08:10,08:10,-,PLAN,stand by doorman หอประชุมตึก 4,หอประชุมตึก 4,คนิ้ง 0858101505,"Doorman
หอประชุมตึก 4 - บูม 0982898377",-doorman ประจำตำแหน่งที่กำหนด
33,08:15,08:15,-,PLAN,ปิดการใช้ห้องน้ำ,"ลานเกียร์ และ ที่ราบสูง - ห้องน้ำตึก 3 ชั้น 1, 2
icanteenชั้น 1 และ ลานชาไทย - ห้องน้ำอรุณ
สวนรวมใจ - ห้องน้ำทรู
ใต้ตึก 4 - ห้องน้ำตึก 4
ใต้ตึก 100 - ห้องน้ำตึก 100",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 100 - โอ๊ค 0902156600
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891",- พี่แผนคุมโซนปิดห้องน้ำและไม่อนุญาติให้น้องใช้ห้องน้ำแล้ว
34,08:15,08:35,20,PLAN,รับน้องสายหอประชุมตึก 4 ที่โต๊ะทะเบียนกลาง รอบ 1,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3),ออง 0968388878,"พี่สาย
หอประชุมตึก 4 - ไจ๋ 0958044441",-พี่สายรับน้องที่โต๊ะทะเบียนกลางแล้วจัดน้องเป็นแถวเดี่ยว 1 แถว
35,08:15,08:35,20,PLAN,รับน้องสายหอประชุมตึก 3 ที่โต๊ะทะเบียนกลาง รอบ 1,โต๊ะทะเบียนกลาง (หน้าห้อง 116/3 ตึก3),ออง 0968388878,"พี่สาย
หอประชุมตึก 3 ฝั่งป้ายคณะ - ลูกพลับ 0948198008
หอประชุมตึก 3 ฝั่งตึก 2 - โอ๊ค 0902156600
หอประชุมตึก 3 ชั้น 2 - เฟิร์ส 0856638891","-พี่สายรับน้องที่โต๊ะทะเบียนกลางแล้วแยกน้องออกเป็น 3 กลุ่ม
กลุ่ม 1: หอประชุมตึก 3 ฝั่งป้ายคณะ
กลุ่ม 2: หอประชุมตึก 3 ฝั่งตึก 2
กลุ่ม 3: หอประชุมตึก 3 ชั้น 2"
