slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)",ฝ่ายรับผิดชอบ,กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
11,06:00,06:00,-,COOP,นัดพี่บ้าน set 1,ลานเกียร์,ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน B - คุณ 0900725783
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน B - บูม 0944476075
         บ้าน 3 บ้านไอรอเธอ ประสาน B - แบมแบม 0917356085
บ้าน 4 บ้านไอแฟนยู ประสาน B - ปัด 0954947193
    บ้าน 5 บ้านไอจาม ประสาน B - ปัน 0838410404
   บ้าน 6 บ้านไอเพื่อน ประสาน B - เจได 0645954462
  บ้าน 7 บ้านไอแดง ประสาน B - เอมี่ 0885015035
 บ้าน 8 บ้านไอน์สไตน์ ประสาน B - ปัน 0972987925",ประสานโต๊ะบ้านดูแลพี่บ้าน set 1 (พี่บ้าน set 1 = พี่บ้านที่ต้องเข้าหอประชุมกับน้องในพิธีเปิด)
11,6:00,6:00,-,REG,"ทะเบียนบ้านรับใบเช็กชื่อน้อง 
และฟังบรีฟจากทะเบียนกลาง",หน้าห้อง 116/3,แองจี้ 0635914155,,
12,06:00,06:10,10,PLAN,โทรตามแผนทุกคนที่มาสาย,ที่ราบสูง,นอร์ท 0951461000,ทุกคนที่มาแล้ว,โทรตามฝ่ายแผนทุกคนที่ยังไม่มา
14,06:00,06:10,10,COOP,โทรตามพี่บ้าน set 1 ที่มาสาย,ลานเกียร์,ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน B - คุณ 0900725783
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน B - บูม 0944476075
         บ้าน 3 บ้านไอรอเธอ ประสาน B - แบมแบม 0917356085
บ้าน 4 บ้านไอแฟนยู ประสาน B - ปัด 0954947193
    บ้าน 5 บ้านไอจาม ประสาน B - ปัน 0838410404
   บ้าน 6 บ้านไอเพื่อน ประสาน B - เจได 0645954462
  บ้าน 7 บ้านไอแดง ประสาน B - เอมี่ 0885015035
 บ้าน 8 บ้านไอน์สไตน์ ประสาน B - ปัน 0972987925",ประสานโต๊ะบ้านดูแลพี่บ้าน set 1 (พี่บ้าน set 1 = พี่บ้านที่ต้องเข้าหอประชุมกับน้องในพิธีเปิด)
14,06:00,06:10,10,SUPPLY ,เตรียมความพร้อมฝ่ายสวัสดิการ,ลานเกียร์,โบอิ้ง 0958948965,สวัสดิการ,บรีฟงานภายในวันและเช็กความพร้อมฝ่ายสวัสดิการ + เตรียมอุปกรณ์ (รถเข็นขนน้ำ + ถุงแจกข้าว)
16,06:00,06:15,15,COOP,ประสานประจำจุด,BTS สยาม  MRT สามย่าน ป้ายคณะ โต๊ะบ้าน,ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน A - นัน 0982618286
            ประสาน B - คุณ 0900725783
            ประสาน C - เหวิน 0826391541
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน A - นุ่น 0931695291
            ประสาน B - บูม 0944476075
            ประสาน C - เนม 0988729227
บ้าน 3 บ้านไอรอเธอ ประสาน A - โชติ 0956735563
            ประสาน B - แบมแบม 0917356085
            ประสาน C - ปิ๊ก 0811499279
บ้าน 4 บ้านไอแฟนยู ประสาน A - ฟ้า 0816443327
            ประสาน B - ปัด 0954947193
            ประสาน C - ลูกขุน 0945619146
บ้าน 5 บ้านไอจาม ประสาน A - ชีส 0985602909
            ประสาน B - ปัน 0838410404
            ประสาน C - ข้าวหอม 0899397816
บ้าน 6 บ้านไอเพื่อน ประสาน A - เชียร์ 0839986709
            ประสาน B - เจได 0645954462
            ประสาน C - ปิงปอง 0989838988
บ้าน 7 บ้านไอแดง ประสาน A - น้ำเพชร 0818822595
            ประสาน B - เอมี่ 0885015035
            ประสาน C - มังกร 0918515467
บ้าน 8 บ้านไอน์สไตน์ ประสาน A - พิม 0994380809
            ประสาน B - ปัน 0972987925
            ประสาน C - นุติ 0814139767",
16,6:00,06:15,15,REG,เปิดโต๊ะลงทะเบียนกลาง,หน้าห้อง 116/3,แองจี้ 0635914155,แองจี้ 0635914155,
18,06:10,06:20,10,COOP,บรีฟพี่บ้าน set 1,ลานเกียร์,ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน B - คุณ 0900725783
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน B - บูม 0944476075
         บ้าน 3 บ้านไอรอเธอ ประสาน B - แบมแบม 0917356085
บ้าน 4 บ้านไอแฟนยู ประสาน B - ปัด 0954947193
    บ้าน 5 บ้านไอจาม ประสาน B - ปัน 0838410404
   บ้าน 6 บ้านไอเพื่อน ประสาน B - เจได 0645954462
  บ้าน 7 บ้านไอแดง ประสาน B - เอมี่ 0885015035
 บ้าน 8 บ้านไอน์สไตน์ ประสาน B - ปัน 0972987925",ประสานโต๊ะบ้านดูแลพี่บ้าน set 1 (พี่บ้าน set 1 = พี่บ้านที่ต้องเข้าหอประชุมกับน้องในพิธีเปิด)
18,06:10,06:20,10,PLAN,บรีฟแผน,ที่ราบสูง,นอร์ท 0951461000,นอร์ท 0951461000,บรีฟระบบเข้าห้องน้ำช่วงเช้า
20,06:10,06:20,10,COOP,เช็กชื่อ + แจกป้ายชื่อพี่บ้าน set 1,ลานเกียร์,ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน B - คุณ 0900725783
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน B - บูม 0944476075
         บ้าน 3 บ้านไอรอเธอ ประสาน B - แบมแบม 0917356085
บ้าน 4 บ้านไอแฟนยู ประสาน B - ปัด 0954947193
    บ้าน 5 บ้านไอจาม ประสาน B - ปัน 0838410404
   บ้าน 6 บ้านไอเพื่อน ประสาน B - เจได 0645954462
  บ้าน 7 บ้านไอแดง ประสาน B - เอมี่ 0885015035
 บ้าน 8 บ้านไอน์สไตน์ ประสาน B - ปัน 0972987925",ประสานโต๊ะบ้านดูแลพี่บ้าน set 1 (พี่บ้าน set 1 = พี่บ้านที่ต้องเข้าหอประชุมกับน้องในพิธีเปิด)
21,06:15,06:15,-,COOP,เปิดจุดป้ายคณะ,ป้ายคณะ,เนม (0988729227),บ้าน 2 บ้านไอค๊อกแค๊ก ห้อง 205 ประสาน ป้าย - เนม 0988729227,
22,06:15,06:15,-,COOP,เปิดจุด BTS,BTS สยาม,มังกร (0918515467),บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467,เตรียมป้ายชื่อไปแจกให้พี่บ้านที่จะต้องไปรับน้องที่ BTS 
23,06:15,06:15,-,COOP,เปิดจุด MRT,MRT สามย่าน,เหวิน (0826391541),บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541,เตรียมป้ายชื่อไปแจกให้พี่บ้านที่จะต้องไปรับน้องที่ MRT
24,06:15,06:15,-,COOP,พี่บ้านประจำจุด รอบที่ 1,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสาน BTS และ MRT รีเช็กว่าพี่บ้านบ้าน 8 บ้านไอน์สไตน์ มาแล้ว 
25,06:15,06:20,5,COOP,โทรตามพี่บ้านประจำจุดรอบ 1 ที่มาสาย,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสานที่ประจำจุด BTS และ MRT โทรตามพี่บ้าน 8 บ้านไอน์สไตน์ ที่รับส่งน้อง
25,6:15,07:50,95,REG,ทะเบียนบ้านประจำจุดที่โต๊ะของแต่ละบ้าน,โต๊ะบ้าน,แองจี้ 0635914155,,ลดจำนวนโต๊ะจาก 4 โต๊ะเหลือ 1 โต๊ะ
26,06:20,06:30,10,PLAN,ประจำที่โต๊ะบ้านของตัวเอง,ลานเกียร์,นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163",ฝ่ายแผนหาที่นั่งประจำโต๊ะบ้านของตัวเอง
28,06:20,06:40,20,COOP,พี่บ้านประจำจุด รอบที่1ยืนรอน้องที่ BTS และ MRT,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",พี่บ้าน 8 บ้านไอน์สไตน์ ยืนรอน้อง
28,06:30,06:30,-,PLAN,ฝ่ายแผน stand by,โต๊ะบ้าน,นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163",ฝ่ายแผนนั่งประจำโต๊ะบ้านของตัวเอง รอบริการน้องบ้านที่อยากเข้าห้องน้ำ
29,6:30,06:30,-,REG,ทะเบียนบ้าน เริ่มลงทะเบียน ,โต๊ะบ้าน,แองจี้ 0635914155,,
30,06:30,06:35,5,PLAN,บรีฟพี่บ้าน set1,โต๊ะบ้าน,นอร์ท 0951461000,นอร์ท 0951461000,"กรณีที่บ้านนั้นๆมีฝ่ายแผนไม่ครบ2เพศ
- ฝ่ายแผนประจำบ้านขอพี่บ้าน(เพศที่ขาด)ช่วยพาน้องเข้าห้องน้ำช่วง 06.30-07.50
- บรีฟระบบเข้าห้องน้ำช่วงเช้าให้พี่บ้าน"
31,06:30,06:45,15,SUPPLY,น้ำแข็งมาส่ง,Amazon/Icanteen,โบอิ้ง 0958948965,อามมี่ 0873492618,น้ำแข็งส่งลง 2 จุด 1. Amazon 2. ลานเกียร์ โทร 0948924149 (ร้านน้ำแข็ง)
32,06:30,07:50,80,PLAN,เช็กห้องน้ำตึกอรุณ,ห้องน้ำตึกอรุณ,นอร์ท 0951461000,"นัท (ชาย)       0917146413
แนน (หญิง)     0613956058
","- เช็กว่าห้องน้ำเปิดไหม
- ห้องน้ำใช้งานได้ไหม ถ้าพังแจ้งใน lineแผนแจ้งข่าว ฝ่ายแผน (ถ้าห้องน้ำพังให้ผต.แจ้งฝ่ายสถานที่)
- เปิดไฟให้หร้อมใช้งาน
- เมื่อตรวจสอบเสร็จแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนว่า ""ตรวจสอบห้องน้ำอรุณเรียบร้อย""
- เมื่อตรวจสอบเสร็จแล้วให้พี่ห้องน้ำชายนั่งเฝ้าหน้าห้องน้ำที่จุดของตน"
34,06:35,06:35,-,COOP,พี่บ้านประจำจุด รอบที่ 2,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสาน BTS และ MRT รีเช็กว่าพี่บ้านบ้าน 6 บ้านไอเพื่อน มาแล้ว 
35,06:35,06:40,5,COOP,โทรตามพี่บ้านประจำจุดรอบ 2 ที่มาสาย,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสานที่ประจำจุด BTS และ MRT โทรตามพี่บ้าน 6 บ้านไอเพื่อน ที่รับส่งน้อง
36,06:40,06:40,-,COOP,พี่บ้านประจำจุดรอบที่ 1 พาน้องเดิน,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467",บ้าน 8 บ้านไอน์สไตน์,พี่บ้าน 8 บ้านไอน์สไตน์ พาน้องเดิน
37,06:40,06:55,15,COOP,พี่บ้านประจำจุด รอบที่ 2 ยืนรอน้องที่ BTS และ MRT,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467",บ้าน 6 บ้านไอเพื่อน,พี่บ้าน 6 บ้านไอเพื่อน ยืนรอน้อง
38,06:50,06:50,-,COOP,พี่บ้านประจำจุด รอบที่ 3,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสาน BTS และ MRT รีเช็กว่าพี่บ้านบ้าน 5 บ้านไอจาม มาแล้ว 
39,06:50,06:55,5,COOP,โทรตามพี่บ้านประจำจุดรอบ 3 ที่มาสาย,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสานMRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสานที่ประจำจุด BTS และ MRT โทรตามพี่บ้าน 5 บ้านไอจาม ที่รับส่งน้อง
40,06:55,06:55,-,COOP,พี่บ้านประจำจุดรอบที่ 2 พาน้องเดิน,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467",บ้าน 6 บ้านไอเพื่อน,พี่บ้าน 6 บ้านไอเพื่อน พาน้องเดิน
41,06:55,07:10,15,COOP,พี่บ้านประจำจุด รอบที่ 3 ยืนรอน้องที่ BTS และ MRT,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467",บ้าน 5 บ้านไอจาม,พี่บ้าน 5 บ้านไอจาม ยืนรอน้อง
42,07:00,07:00,-,COOP,นัดพี่บ้าน set 2,"บ้านไอคัท
บ้านไอค๊อกแค๊ก
บ้านไอรอเธอ
บ้านไอแฟนยู
บ้านไอจาม
บ้านไอเพื่อน
บ้านไอแดง
บ้านไอน์สไตน์",ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน B - คุณ 0900725783
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน B - บูม 0944476075
         บ้าน 3 บ้านไอรอเธอ ประสาน B - แบมแบม 0917356085
บ้าน 4 บ้านไอแฟนยู ประสาน B - ปัด 0954947193
    บ้าน 5 บ้านไอจาม ประสาน B - ปัน 0838410404
   บ้าน 6 บ้านไอเพื่อน ประสาน B - เจได 0645954462
  บ้าน 7 บ้านไอแดง ประสาน B - เอมี่ 0885015035
 บ้าน 8 บ้านไอน์สไตน์ ประสาน B - ปัน 0972987925",ประสานโต๊ะบ้านดูแลพี่บ้าน set 2 = พี่บ้านที่ต้องเตรียมกิจบ้าน
43,07:00,07:10,10,COOP,เช็กชื่อ + แจกป้ายชื่อพี่บ้าน set 2,ลานเกียร์,ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน B - คุณ 0900725783
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน B - บูม 0944476075
         บ้าน 3 บ้านไอรอเธอ ประสาน B - แบมแบม 0917356085
บ้าน 4 บ้านไอแฟนยู ประสาน B - ปัด 0954947193
    บ้าน 5 บ้านไอจาม ประสาน B - ปัน 0838410404
   บ้าน 6 บ้านไอเพื่อน ประสาน B - เจได 0645954462
  บ้าน 7 บ้านไอแดง ประสาน B - เอมี่ 0885015035
 บ้าน 8 บ้านไอน์สไตน์ ประสาน B - ปัน 0972987925",ประสานโต๊ะบ้านดูแลพี่บ้าน set 2 = พี่บ้านที่ต้องเตรียมกิจบ้าน
43,07:00,07:15,15,SUPPLY,บรีฟงานสวัสบ้าน,ลานเกียร์,โบอิ้ง 0958948965,สวัสและสวัสบ้าน,บรีฟงานภายในวันและเช็กความพร่อมสวัสบ้าน
44,07:00,07:20,20,SUPPLY,เติมขวดน้ำในถังน้ำแข็ง,Amazon/Icanteen,โบอิ้ง 0958948965,อามมี่ 0873492618,เอาแพ็คน้ำไปแช่ในถังน้ำแข็งให้เต็ม
45,07:00,07:40,40,PLAN,พาน้องบ้านตัวเองไปเข้าห้องน้ำ,ห้องน้ำตึกอรุณ,นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163","- พี่บ้านฝ่ายแผนเช็ก lineแผนแจ้งข่าว ฝ่ายแผนเพื่อหาห้องน้ำที่ว่าง และแจ้งพี่ห้องน้ำในฟอร์ม 
“บ้านไอคัท น้อง ช x คน ญ x คน ไปเข้าห้องน้ำตึกX”  
- น้องผู้หญิง → พี่ผู้หญิงพาไปเข้าห้องน้ำ
- น้องผู้ชาย → พี่ผู้ชายพาไปเข้าห้องน้ำ
- น้องLGBTQ+ → พี่ที่พาเข้าจะขึ้นอยู่กับเพศสภาพของน้อง
- หากน้องไปเป็นกลุ่มคละเพศให้พี่บ้านฝ่ายแผนชาย 1 หญิง 1 พาไป
- ให้น้องต่อแถวรอเข้าห้องน้ำด้านนอกแล้วทยอยเข้าไปครั้งละ 3 คน
- เข้าเสร็จก็ออกมายืนแถวรอเพื่อน เมื่อน้องเข้าจนครบก็ให้พี่บ้านพากลับเข้าโต๊ะบ้าน
- พี่บ้านฝ่ายแผนแจ้งจำนวนน้องที่กลับมาจากการเข้าห้องน้ำใน lineแผนแจ้งข่าว ในฟอร์ม 
“บ้านไอคัท น้อง ช x คน ญ x คนกลับมาถึงโต๊ะบ้านแล้ว”"
46,07:00,07:50,50,PLAN,เช็กห้องน้ำชั้น 1 ตึก 3,ห้องน้ำชั้น 1 ตึก 3,นอร์ท 0951461000,"
แนน (หญิง)     0613956058
ฝ่ายแผนผู้ชายอีก 1 คน
","- เช็กว่าห้องน้ำเปิดไหม
- ห้องน้ำใช้งานได้ไหม ถ้าพังแจ้งใน lineแผนแจ้งข่าว ฝ่ายแผน (ถ้าห้องน้ำพังให้ผต.แจ้งฝ่ายสถานที่)
- เปิดไฟให้หร้อมใช้งาน
- เมื่อตรวจสอบเสร็จแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนว่า ""ตรวจสอบห้องน้ำตึก 3 ชั้น 1 เรียบร้อย""
- เมื่อตรวจสอบเสร็จแล้วให้พี่ห้องน้ำชายนั่งเฝ้าหน้าห้องน้ำที่จุดของตน"
47,07:00,07:50,50,PLAN,พี่ห้องน้ำรายงานใน lineแผนแจ้งข่าว ฝ่ายแผน,"ห้องน้ำตึกอรุณ
ห้องน้ำชั้น 1 ตึก 3",นอร์ท 0951461000,"นัท (ชาย)       0917146413
แนน (หญิง)     0613956058","- รายงานความแออัดของห้องน้ำ ทุก 15 นาที
- เมื่อแออัด (ต่อแถว 6 คนหรือมากกว่า) รายงานทันที และรายงานอีกครั้งเมื่อห้องน้ำว่างแล้ว"
49,07:00,08:00,60,COOP,ติด tag + ยกกระเป๋า,โต๊ะบ้าน  >> ห้องToshiba,ลูกขุน (0945619146),"บ้าน 4 บ้านไอแฟนยู ประสาน C - ลูกขุน 0945619146
บ้าน 8 บ้านไอน์สไตน์ ประสาน C - นุติ 0814139767","พี่บ้านติด tag กระเป๋าให้น้องที่โต๊ะบ้าน  พี่บ้านยกกระเป๋ามาให้ที่หน้าห้อง Toshiba มีลูกขุนบ้าน 4 บ้านไอแฟนยู , นุติบ้าน 8 บ้านไอน์สไตน์ ดูแลอยู่"
50,07:05,07:05,-,COOP,พี่บ้านประจำจุด รอบที่ 4,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสาน BTS และ MRT รีเช็กว่าพี่บ้านบ้าน3มาแล้ว 
51,07:05,07:10,5,COOP,โทรตามพี่บ้านประจำจุดรอบ 4 ที่มาสาย,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสานที่ประจำจุด BTS และ MRT โทรตามพี่บ้าน3ที่รับส่งน้อง
52,07:10,07:10,-,COOP,พี่บ้านประจำจุดรอบที่ 3 พาน้องเดิน,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467",บ้าน 5 บ้านไอจาม,พี่บ้าน 5 บ้านไอจาม พาน้องเดิน
53,07:10,07:20,10,COOP,พี่บ้านประจำจุด รอบที่ 4 ยืนรอน้องที่ BTS และ MRT,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467",บ้าน 3 บ้านไอรอเธอ,พี่บ้าน 3 บ้านไอรอเธอ ยืนรอน้อง
54,07:15,07:15,-,COOP,พี่บ้านประจำจุด รอบที่ 5,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสาน BTS และ MRT รีเช็กว่าพี่บ้านบ้าน 4 บ้านไอแฟนยู มาแล้ว 
55,07:15,07:20,5,COOP,โทรตามพี่บ้านประจำจุดรอบ 5 ที่มาสาย,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467","บ้าน 1 บ้านไอคัท ประสาน MRT - เหวิน 0826391541
บ้าน 7 บ้านไอแดง ประสาน BTS - มังกร 0918515467",ประสานที่ประจำจุด BTS และ MRT โทรตามพี่บ้าน 4 บ้านไอแฟนยู ที่รับส่งน้อง
56,07:20,07:20,-,COOP,พี่บ้านประจำจุดรอบที่ 4 พาน้องเดิน,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467",บ้าน 3 บ้านไอรอเธอ,พี่บ้าน 3 บ้านไอรอเธอ พาน้องเดิน
57,07:20,07:30,10,COOP,พี่บ้านประจำจุด รอบที่ 5 ยืนรอน้องที่ BTS และ MRT,BTS สยาม  MRT สามย่าน,"MRT - เหวิน 0826391541
BTS - มังกร 0918515467",บ้าน 4 บ้านไอแฟนยู,พี่บ้าน 4 บ้านไอแฟนยู ยืนรอน้อง
